date_assumed_office,name,office_title,party
2011,Tim Walberg,U.S. House Michigan District 7,Republican Party
2009,Betty McCollum,U.S. House Minnesota District 4,Democratic Party
,Collin Peterson,U.S. House Minnesota District 7,Democratic Party
,Rick Nolan,U.S. House Minnesota District 8,Democratic Party
,Tom Emmer,U.S. House Minnesota District 6,Republican Party
1993,Bennie Thompson,U.S. House Mississippi District 2,Democratic Party
2011,Steven Palazzo,U.S. House Mississippi District 4,Republican Party
,Trent Kelly,U.S. House Mississippi District 1,Republican Party
,Ann Wagner,U.S. House Missouri District 2,Republican Party
2011,Billy Long,U.S. House Missouri District 7,Republican Party
2009,Blaine Luetkemeyer,U.S. House Missouri District 3,Republican Party
,Emanuel Cleaver,U.S. House Missouri District 5,Democratic Party
,Sam Graves,U.S. House Missouri District 6,Republican Party
,William Lacy Clay,U.S. House Missouri District 1,Democratic Party
2017-06-21,Greg Gianforte,U.S. House Montana At-large District,Republican Party
,Adrian Smith,U.S. House Nebraska District 3,Republican Party
2017-01-03,Don Bacon,U.S. House Nebraska District 2,Republican Party
2009-01-03,Dina Titus,U.S. House Nevada District 1,Democratic Party
,Mark Amodei,U.S. House Nevada District 2,Republican Party
,Albio Sires,U.S. House New Jersey District 8,Democratic Party
2013,Bill Pascrell,U.S. House New Jersey District 9,Democratic Party
,Bonnie Watson Coleman,U.S. House New Jersey District 12,Democratic Party
,Donald Norcross,U.S. House New Jersey District 1,Democratic Party
,"Donald Payne, Jr.",U.S. House New Jersey District 10,Democratic Party
,Frank Pallone,U.S. House New Jersey District 6,Democratic Party
,Josh Gottheimer,U.S. House New Jersey District 5,Democratic Party
2009,Leonard Lance,U.S. House New Jersey District 7,Republican Party
,Rodney Frelinghuysen,U.S. House New Jersey District 11,Republican Party
,Tom MacArthur,U.S. House New Jersey District 3,Republican Party
,Ben Ray Lujan,U.S. House New Mexico District 3,Democratic Party
,Adriano Espaillat,U.S. House New York District 13,Democratic Party
,Brian Higgins,U.S. House New York District 26,Democratic Party
,Eliot Engel,U.S. House New York District 16,Democratic Party
,Elise Stefanik,U.S. House New York District 21,Republican Party
,Grace Meng,U.S. House New York District 6,Democratic Party
,Gregory W. Meeks,U.S. House New York District 5,Democratic Party
,Hakeem Jeffries,U.S. House New York District 8,Democratic Party
,John Faso,U.S. House New York District 19,Republican Party
,John Katko,U.S. House New York District 24,Republican Party
,Joseph Crowley,U.S. House New York District 14,Democratic Party
,Lee Zeldin,U.S. House New York District 1,Republican Party
